B'g;Temp (K);B'c;Hw (kJ/kg)
0.00;250;0.087426161;-2680.985523
0.00;275;0.087426161;-2656.727021
0.00;300;0.087426161;-2632.263586
0.00;325;0.087426161;-2607.601533
0.00;350;0.087426162;-2582.745953
0.00;375;0.087426165;-2557.700125
0.00;400;0.087426182;-2532.465503
0.00;425;0.087426258;-2507.041659
0.00;450;0.087426539;-2481.425581
0.00;475;0.087427444;-2455.60941
0.00;500;0.087430011;-2429.575201
0.00;525;0.087436566;-2403.284751
0.00;550;0.087451852;-2376.662059
0.00;575;0.087484784;-2349.56585
0.00;600;0.087550987;-2321.749864
0.00;625;0.087676203;-2292.809598
0.00;650;0.087900553;-2262.115946
0.00;675;0.088283472;-2228.739138
0.00;700;0.088908878;-2191.370981
0.00;725;0.089889729;-2148.260275
0.00;750;0.091370576;-2097.186171
0.00;775;0.093525891;-2035.507259
0.00;800;0.096550913;-1960.338924
0.00;825;0.100640693;-1868.922746
0.00;850;0.105952539;-1759.245302
0.00;875;0.112549121;-1630.911064
0.00;900;0.120327566;-1486.131394
0.00;925;0.128957636;-1330.435551
0.00;950;0.137875416;-1172.449203
0.00;975;0.146382026;-1022.191636
0.00;1000;0.153841668;-888.215839
0.00;1025;0.15987698;-775.1171272
0.00;1050;0.164434829;-682.9792705
0.00;1075;0.167702261;-608.7635168
0.00;1100;0.169965535;-548.285236
0.00;1125;0.171503711;-497.6103225
0.00;1150;0.172541332;-453.6316063
0.00;1175;0.173241634;-414.1152345
0.00;1200;0.173716917;-377.5356401
0.00;1225;0.174042279;-342.8781288
0.00;1250;0.174267324;-309.4754757
0.00;1275;0.174424732;-276.890025
0.00;1300;0.174536103;-244.833914
0.00;1325;0.17461581;-213.1167397
0.00;1350;0.174673499;-181.6116868
0.00;1375;0.174715711;-150.2336821
0.00;1400;0.174746923;-118.9252725
0.00;1425;0.174770237;-87.64744413
0.00;1450;0.17478782;-56.37360812
0.00;1475;0.174801204;-25.08562505
0.00;1500;0.174811481;6.228847058
0.00;1525;0.17481944;37.57813916
0.00;1550;0.174825652;68.96778607
0.00;1575;0.17483054;100.4013604
0.00;1600;0.174834412;131.8810501
0.00;1625;0.174837503;163.4080624
0.00;1650;0.174839985;194.9829081
0.00;1675;0.174841993;226.6056035
0.00;1700;0.174843626;258.2758156
0.00;1725;0.174844963;289.9929655
0.00;1750;0.174846064;321.756305
0.00;1775;0.174846976;353.5649719
0.00;1800;0.174847737;385.4180308
0.00;1825;0.174848375;417.314504
0.00;1850;0.174848915;449.2533949
0.00;1875;0.174849376;481.233706
0.00;1900;0.174849774;513.2544537
0.00;1925;0.174850123;545.3146805
0.00;1950;0.174850436;577.4134656
0.00;1975;0.174850724;609.5499356
0.00;2000;0.174850998;641.7232748
0.00;2025;0.174851268;673.9327359
0.00;2050;0.174851548;706.1776523
0.00;2075;0.17485185;738.457452
0.00;2100;0.174852189;770.7716732
0.00;2125;0.174852584;803.119983
0.00;2150;0.174853055;835.5021994
0.00;2175;0.174853627;867.9183161
0.00;2200;0.174854333;900.3685328
0.00;2225;0.174855207;932.85329
0.00;2250;0.174856295;965.3733089
0.00;2275;0.174857651;997.9296392
0.00;2300;0.174859339;1030.523713
0.00;2325;0.174861437;1063.157409
0.00;2350;0.174864037;1095.833124
0.00;2375;0.17486725;1128.55386
0.00;2400;0.174871207;1161.323317
0.00;2425;0.174876064;1194.146011
0.00;2450;0.174882008;1227.027403
0.00;2475;0.174889256;1259.974048
0.00;2500;0.174898068;1292.993774
0.00;2525;0.17490875;1326.095888
0.00;2550;0.174921663;1359.291413
0.00;2575;0.174937232;1392.593373
0.00;2600;0.174955962;1426.017124
0.00;2625;0.174978447;1459.58075
0.00;2650;0.175005388;1493.305524
0.00;2675;0.175037619;1527.216466
0.00;2700;0.175076125;1561.343004
0.00;2725;0.175122078;1595.719763
0.00;2750;0.175176873;1630.387512
0.00;2775;0.17524217;1665.394295
0.00;2800;0.175319954;1700.796798
0.00;2825;0.175412599;1736.661975
0.00;2850;0.175522948;1773.069007
0.00;2875;0.175654414;1810.111656
0.00;2900;0.175811099;1847.901069
0.00;2925;0.175997936;1886.56915
0.00;2950;0.176220865;1926.272574
0.00;2975;0.176487042;1967.197582
0.00;3000;0.176805093;2009.565681
