T [K];hg [J/kg];hg [kJ/kg]
2.00E+02;-7.25E+06;-7.247E+03
2.25E+02;-7.21E+06;-7.208E+03
2.50E+02;-7.17E+06;-7.170E+03
2.75E+02;-7.13E+06;-7.130E+03
3.00E+02;-7.09E+06;-7.090E+03
3.25E+02;-7.05E+06;-7.049E+03
3.50E+02;-7.01E+06;-7.006E+03
3.75E+02;-6.96E+06;-6.963E+03
4.00E+02;-6.92E+06;-6.917E+03
4.25E+02;-6.87E+06;-6.870E+03
4.50E+02;-6.82E+06;-6.821E+03
4.75E+02;-6.77E+06;-6.770E+03
5.00E+02;-6.72E+06;-6.715E+03
5.25E+02;-6.66E+06;-6.657E+03
5.50E+02;-6.59E+06;-6.595E+03
5.75E+02;-6.53E+06;-6.527E+03
6.00E+02;-6.45E+06;-6.451E+03
6.25E+02;-6.37E+06;-6.365E+03
6.50E+02;-6.27E+06;-6.266E+03
6.75E+02;-6.15E+06;-6.148E+03
7.00E+02;-6.00E+06;-6.005E+03
7.25E+02;-5.83E+06;-5.827E+03
7.50E+02;-5.61E+06;-5.608E+03
7.75E+02;-5.34E+06;-5.338E+03
8.00E+02;-5.01E+06;-5.014E+03
8.25E+02;-4.64E+06;-4.638E+03
8.50E+02;-4.22E+06;-4.219E+03
8.75E+02;-3.77E+06;-3.775E+03
9.00E+02;-3.34E+06;-3.335E+03
9.25E+02;-2.94E+06;-2.936E+03
9.50E+02;-2.60E+06;-2.605E+03
9.75E+02;-2.35E+06;-2.353E+03
1.00E+03;-2.17E+06;-2.170E+03
1.03E+03;-2.03E+06;-2.034E+03
1.05E+03;-1.93E+06;-1.925E+03
1.08E+03;-1.83E+06;-1.830E+03
1.10E+03;-1.74E+06;-1.741E+03
1.13E+03;-1.65E+06;-1.653E+03
1.15E+03;-1.56E+06;-1.561E+03
1.18E+03;-1.45E+06;-1.454E+03
1.20E+03;-1.32E+06;-1.316E+03
1.23E+03;-1.14E+06;-1.144E+03
1.25E+03;-9.48E+05;-9.480E+02
1.28E+03;-7.40E+05;-7.397E+02
1.30E+03;-5.26E+05;-5.255E+02
1.33E+03;-3.09E+05;-3.087E+02
1.35E+03;-9.03E+04;-9.028E+01
1.38E+03;1.30E+05;1.299E+02
1.40E+03;3.53E+05;3.533E+02
1.43E+03;5.82E+05;5.820E+02
1.45E+03;8.19E+05;8.187E+02
1.48E+03;1.07E+06;1.067E+03
1.50E+03;1.33E+06;1.329E+03
1.53E+03;1.61E+06;1.608E+03
1.55E+03;1.90E+06;1.905E+03
1.58E+03;2.21E+06;2.214E+03
1.60E+03;2.53E+06;2.527E+03
1.63E+03;2.83E+06;2.827E+03
1.65E+03;3.10E+06;3.098E+03
1.68E+03;3.33E+06;3.331E+03
1.70E+03;3.53E+06;3.529E+03
1.73E+03;3.70E+06;3.701E+03
1.75E+03;3.85E+06;3.853E+03
1.78E+03;3.99E+06;3.991E+03
1.80E+03;4.12E+06;4.119E+03
1.83E+03;4.24E+06;4.241E+03
1.85E+03;4.36E+06;4.356E+03
1.88E+03;4.47E+06;4.468E+03
1.90E+03;4.58E+06;4.576E+03
1.93E+03;4.68E+06;4.682E+03
1.95E+03;4.79E+06;4.786E+03
1.98E+03;4.89E+06;4.889E+03
2.00E+03;4.99E+06;4.991E+03
2.03E+03;5.09E+06;5.093E+03
2.05E+03;5.19E+06;5.195E+03
2.08E+03;5.30E+06;5.297E+03
2.10E+03;5.40E+06;5.399E+03
2.13E+03;5.50E+06;5.502E+03
2.15E+03;5.61E+06;5.605E+03
2.18E+03;5.71E+06;5.710E+03
2.20E+03;5.82E+06;5.816E+03
2.23E+03;5.92E+06;5.924E+03
2.25E+03;6.03E+06;6.033E+03
2.28E+03;6.14E+06;6.144E+03
2.30E+03;6.26E+06;6.257E+03
2.33E+03;6.37E+06;6.373E+03
2.35E+03;6.49E+06;6.491E+03
2.38E+03;6.61E+06;6.612E+03
2.40E+03;6.74E+06;6.736E+03
2.43E+03;6.86E+06;6.863E+03
2.45E+03;6.99E+06;6.994E+03
2.48E+03;7.13E+06;7.128E+03
2.50E+03;7.27E+06;7.267E+03
2.53E+03;7.41E+06;7.410E+03
2.55E+03;7.56E+06;7.558E+03
2.58E+03;7.71E+06;7.711E+03
2.60E+03;7.87E+06;7.870E+03
2.63E+03;8.03E+06;8.034E+03
2.65E+03;8.20E+06;8.204E+03
2.68E+03;8.38E+06;8.382E+03
2.70E+03;8.57E+06;8.566E+03
2.73E+03;8.76E+06;8.757E+03
2.75E+03;8.96E+06;8.957E+03
2.78E+03;9.16E+06;9.165E+03
2.80E+03;9.38E+06;9.382E+03
2.83E+03;9.61E+06;9.608E+03
2.85E+03;9.84E+06;9.844E+03
2.88E+03;1.01E+07;1.009E+04
2.90E+03;1.03E+07;1.035E+04
2.93E+03;1.06E+07;1.062E+04
2.95E+03;1.09E+07;1.090E+04
2.98E+03;1.12E+07;1.119E+04
3.00E+03;1.15E+07;1.150E+04
3.03E+03;1.18E+07;1.182E+04
3.05E+03;1.22E+07;1.216E+04
3.08E+03;1.25E+07;1.251E+04
3.10E+03;1.29E+07;1.288E+04
3.13E+03;1.33E+07;1.326E+04
3.15E+03;1.37E+07;1.366E+04
3.18E+03;1.41E+07;1.408E+04
3.20E+03;1.45E+07;1.452E+04
3.23E+03;1.50E+07;1.498E+04
3.25E+03;1.55E+07;1.546E+04
3.28E+03;1.60E+07;1.596E+04
3.30E+03;1.65E+07;1.648E+04
3.33E+03;1.70E+07;1.702E+04
3.35E+03;1.76E+07;1.758E+04
3.38E+03;1.82E+07;1.817E+04
3.40E+03;1.88E+07;1.877E+04
3.43E+03;1.94E+07;1.940E+04
3.45E+03;2.00E+07;2.005E+04
3.48E+03;2.07E+07;2.072E+04
3.50E+03;2.14E+07;2.140E+04
3.53E+03;2.21E+07;2.211E+04
3.55E+03;2.28E+07;2.283E+04
3.58E+03;2.36E+07;2.357E+04
3.60E+03;2.43E+07;2.432E+04
3.63E+03;2.51E+07;2.509E+04
3.65E+03;2.59E+07;2.587E+04
3.68E+03;2.67E+07;2.665E+04
3.70E+03;2.74E+07;2.745E+04
3.73E+03;2.83E+07;2.825E+04
3.75E+03;2.91E+07;2.906E+04
3.78E+03;2.99E+07;2.987E+04
3.80E+03;3.07E+07;3.068E+04
3.83E+03;3.15E+07;3.149E+04
3.85E+03;3.23E+07;3.230E+04
3.88E+03;3.31E+07;3.311E+04
3.90E+03;3.39E+07;3.391E+04
3.93E+03;3.47E+07;3.471E+04
3.95E+03;3.55E+07;3.550E+04
3.98E+03;3.63E+07;3.628E+04
