 t [s]; Q [W/m^2]
 0; 0.0e+0
 3.23482503049067e-001; 3.03693279544673e+003
 1.16427432216906e+000; 3.32801701222754e+003
 2.00525377615161e+000; 3.65437658316915e+003
 2.85749132188761e+000; 3.87503518153673e+003
 3.70972886762360e+000; 4.09569377990431e+003
 4.55070832160615e+000; 4.42205335084592e+003
 5.39225068017638e+000; 4.85423898426994e+003
 6.23379303874660e+000; 5.28642461769397e+003
 7.07496012759171e+000; 5.64805954279639e+003
 7.91575194671170e+000; 5.93914375957720e+003
 8.75710667041936e+000; 6.33605403884042e+003
 9.58720330237358e+000; 6.83866529067767e+003
 1.04291209306689e+001; 7.34140163242330e+003
 1.12590299277606e+001; 7.80873753009976e+003
 1.21009475560559e+001; 8.31147387184539e+003
 1.29314194577352e+001; 8.88463583200425e+003
 1.37622666291397e+001; 9.52834850048472e+003
 1.45931138005441e+001; 1.01720611689652e+004
 1.54239609719486e+001; 1.08157738374457e+004
 1.62548081433530e+001; 1.14594865059261e+004
 1.70860305844826e+001; 1.21737498827282e+004
 1.79056196641336e+001; 1.29231635237827e+004
 1.87252087437846e+001; 1.36725771648372e+004
 1.95329768270945e+001; 1.44218657159834e+004
 2.03409325452669e+001; 1.52064296212903e+004
 2.11607092597805e+001; 1.59911186165056e+004
 2.19574068861995e+001; 1.68813834943866e+004
 2.27544797823436e+001; 1.78421990805892e+004
 2.35517403133502e+001; 1.88382900209526e+004
 2.43488132094943e+001; 1.97991056071551e+004
 2.51344403790224e+001; 2.08303468117710e+004
 2.59200675485505e+001; 2.18615880163868e+004
 2.66940613566001e+001; 2.29279794852550e+004
 2.74449760765550e+001; 2.40999468367889e+004
 2.81846327047565e+001; 2.53776151608969e+004
 2.89361103292992e+001; 2.66554085749132e+004
 2.96757669575007e+001; 2.79330768990212e+004
 3.04037902242237e+001; 2.92458954873816e+004
 3.11318134909466e+001; 3.05587140757419e+004
 3.18716577540107e+001; 3.18716577540107e+004
 3.25996810207337e+001; 3.31844763423711e+004
 3.33395252837977e+001; 3.44974200206398e+004
 3.40791819119993e+001; 3.57750883447478e+004
 3.48421052631579e+001; 3.69824561403509e+004
 3.56164743409325e+001; 3.81193983175407e+004
 3.64019138755981e+001; 3.91153641679958e+004
 3.72096819589080e+001; 3.98646527191419e+004
 3.80514119523407e+001; 4.03321137067267e+004
 3.88914532320105e+001; 4.04820965068643e+004
 3.97418144291209e+001; 4.03500015636239e+004
 4.05664696500610e+001; 3.98296275447978e+004
 4.13297682709447e+001; 3.88853238265003e+004
 4.20557275541796e+001; 3.75878912968696e+004
 4.27334646777371e+001; 3.61135816368014e+004
 4.33869969040248e+001; 3.45331957344341e+004
 4.39924946054977e+001; 3.28112080557901e+004
 4.45739750445633e+001; 3.10184194890077e+004
 4.51554554836289e+001; 2.92256309222253e+004
 4.57369359226944e+001; 2.74328423554430e+004
 4.63062200956938e+001; 2.55693779904306e+004
 4.68516746411483e+001; 2.36703880914407e+004
 4.74091378178065e+001; 2.18067986365200e+004
 4.79904306220096e+001; 1.99787347155768e+004
 4.85837320574163e+001; 1.81860712387028e+004
 4.91892297588892e+001; 1.64640835600588e+004
 4.98187447227695e+001; 1.48128967695531e+004
 5.04602683178535e+001; 1.31971104231166e+004
 5.11138005441411e+001; 1.16167245207493e+004
 5.17915376676987e+001; 1.01424148606811e+004
 5.25173093160709e+001; 8.80970697688964e+003
 5.32558401350971e+001; 7.65350095381055e+003
 5.40302092128718e+001; 6.56822090877818e+003
 5.48049535603715e+001; 5.55349157206742e+003
 5.56039028051412e+001; 4.64483847765582e+003
 5.64156112205648e+001; 3.91268724395659e+003
 5.72280701754386e+001; 3.32163742690059e+003
 5.80527253963786e+001; 2.80126340807455e+003
 5.88893892485224e+001; 2.31628983331770e+003
 5.97389999061826e+001; 2.04309347343403e+003
